Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_20_141,VPWR,li1,73.1400,68.0000,1.799928
FILLER_0_20_137,VPWR,li1,69.2300,68.0000,1.799929
FILLER_0_20_125,VPWR,li1,65.7800,68.0000,1.799929
FILLER_0_20_113,VPWR,li1,60.2600,68.0000,1.799930
FILLER_0_20_97,VPWR,li1,50.6000,68.0000,1.799931
FILLER_0_20_85,VPWR,li1,45.0800,68.0000,1.799933
FILLER_0_20_72,VPWR,li1,39.3300,68.0000,1.799937
FILLER_0_20_64,VPWR,li1,35.1900,68.0000,1.799943
FILLER_0_20_58,VPWR,li1,33.5800,68.0000,1.799943
FILLER_0_20_43,VPWR,li1,28.0600,68.0000,1.799949
FILLER_0_20_35,VPWR,li1,21.8500,68.0000,1.799958
FILLER_0_20_29,VPWR,li1,20.2400,68.0000,1.799962
FILLER_0_20_25,VPWR,li1,17.7100,68.0000,1.799966
FILLER_0_20_14,VPWR,li1,12.6500,68.0000,1.799977
FILLER_0_20_6,VPWR,li1,10.1200,68.0000,1.799977
FILLER_0_19_156,VPWR,li1,77.9700,62.5600,1.799798
FILLER_0_19_134,VPWR,li1,67.6200,62.5600,1.799804
FILLER_0_19_113,VPWR,li1,57.7300,62.5600,1.799824
FILLER_0_19_111,VPWR,li1,56.8100,62.5600,1.799830
FILLER_0_19_107,VPWR,li1,55.6600,62.5600,1.799830
FILLER_0_19_97,VPWR,li1,50.6000,62.5600,1.799843
FILLER_0_19_85,VPWR,li1,47.3800,62.5600,1.799852
FILLER_0_19_76,VPWR,li1,41.4000,62.5600,1.799868
FILLER_0_19_69,VPWR,li1,37.4900,62.5600,1.799879
FILLER_0_19_57,VPWR,li1,34.5000,62.5600,1.799887
FILLER_0_19_53,VPWR,li1,30.5900,62.5600,1.799903
FILLER_0_19_27,VPWR,li1,18.6300,62.5600,1.799940
FILLER_0_19_3,VPWR,li1,9.6600,62.5600,1.799960
FILLER_0_18_153,VPWR,li1,76.5900,62.5600,1.799798
FILLER_0_18_141,VPWR,li1,73.1400,62.5600,1.799798
FILLER_0_18_130,VPWR,li1,65.7800,62.5600,1.799807
FILLER_0_18_118,VPWR,li1,62.5600,62.5600,1.799811
FILLER_0_18_106,VPWR,li1,57.0400,62.5600,1.799830
FILLER_0_18_97,VPWR,li1,50.8300,62.5600,1.799843
FILLER_0_18_85,VPWR,li1,47.3800,62.5600,1.799852
FILLER_0_18_83,VPWR,li1,43.9300,62.5600,1.799863
FILLER_0_18_79,VPWR,li1,42.7800,62.5600,1.799868
FILLER_0_18_67,VPWR,li1,39.1000,62.5600,1.799879
FILLER_0_18_58,VPWR,li1,32.6600,62.5600,1.799896
FILLER_0_18_54,VPWR,li1,30.5900,62.5600,1.799903
FILLER_0_18_48,VPWR,li1,28.9800,62.5600,1.799903
FILLER_0_18_41,VPWR,li1,25.3000,62.5600,1.799917
FILLER_0_18_29,VPWR,li1,21.6200,62.5600,1.799928
FILLER_0_18_26,VPWR,li1,17.9400,62.5600,1.799940
FILLER_0_18_18,VPWR,li1,15.6400,62.5600,1.799948
FILLER_0_18_6,VPWR,li1,11.0400,62.5600,1.799960
FILLER_0_17_133,VPWR,li1,68.0800,57.1200,1.799776
FILLER_0_17_111,VPWR,li1,56.8100,57.1200,1.799800
FILLER_0_17_103,VPWR,li1,54.7400,57.1200,1.799806
FILLER_0_17_91,VPWR,li1,50.1400,57.1200,1.799818
FILLER_0_17_87,VPWR,li1,45.7700,57.1200,1.799837
FILLER_0_17_81,VPWR,li1,44.1600,57.1200,1.799844
FILLER_0_17_69,VPWR,li1,40.0200,57.1200,1.799852
FILLER_0_17_57,VPWR,li1,33.1200,57.1200,1.799876
FILLER_0_17_37,VPWR,li1,23.0000,57.1200,1.799912
FILLER_0_17_29,VPWR,li1,20.7000,57.1200,1.799920
FILLER_0_16_155,VPWR,li1,77.0500,57.1200,1.799766
FILLER_0_16_149,VPWR,li1,75.4400,57.1200,1.799767
FILLER_0_16_139,VPWR,li1,69.6900,57.1200,1.799776
FILLER_0_16_133,VPWR,li1,68.0800,57.1200,1.799776
FILLER_0_16_121,VPWR,li1,63.9400,57.1200,1.799782
FILLER_0_16_109,VPWR,li1,58.4200,57.1200,1.799800
FILLER_0_16_85,VPWR,li1,45.5400,57.1200,1.799837
FILLER_0_16_75,VPWR,li1,40.4800,57.1200,1.799852
FILLER_0_16_67,VPWR,li1,38.1800,57.1200,1.799858
FILLER_0_16_48,VPWR,li1,30.3600,57.1200,1.799885
FILLER_0_16_41,VPWR,li1,25.0700,57.1200,1.799904
FILLER_0_16_29,VPWR,li1,21.6200,57.1200,1.799920
FILLER_0_16_25,VPWR,li1,17.7100,57.1200,1.799931
FILLER_0_16_12,VPWR,li1,11.2700,57.1200,1.799954
FILLER_0_16_6,VPWR,li1,9.6600,57.1200,1.799954
FILLER_0_15_137,VPWR,li1,69.0000,51.6800,1.799790
FILLER_0_15_121,VPWR,li1,62.5600,51.6800,1.799798
FILLER_0_15_104,VPWR,li1,55.2000,51.6800,1.799807
FILLER_0_15_92,VPWR,li1,50.6000,51.6800,1.799815
FILLER_0_15_80,VPWR,li1,45.0800,51.6800,1.799824
FILLER_0_15_67,VPWR,li1,37.7200,51.6800,1.799839
FILLER_0_15_63,VPWR,li1,34.7300,51.6800,1.799849
FILLER_0_15_57,VPWR,li1,33.1200,51.6800,1.799849
FILLER_0_15_54,VPWR,li1,30.8200,51.6800,1.799854
FILLER_0_15_46,VPWR,li1,28.5200,51.6800,1.799859
FILLER_0_15_35,VPWR,li1,22.5400,51.6800,1.799888
FILLER_0_15_6,VPWR,li1,11.0400,51.6800,1.799942
FILLER_0_14_157,VPWR,li1,78.2000,51.6800,1.799785
FILLER_0_14_136,VPWR,li1,69.0000,51.6800,1.799790
FILLER_0_14_125,VPWR,li1,63.2500,51.6800,1.799798
FILLER_0_14_68,VPWR,li1,38.1800,51.6800,1.799839
FILLER_0_14_34,VPWR,li1,23.0000,51.6800,1.799888
FILLER_0_14_27,VPWR,li1,18.1700,51.6800,1.799915
FILLER_0_14_21,VPWR,li1,15.8700,51.6800,1.799930
FILLER_0_14_13,VPWR,li1,13.3400,51.6800,1.799942
FILLER_0_14_3,VPWR,li1,7.3600,51.6800,1.799942
FILLER_0_13_154,VPWR,li1,76.8200,46.2400,1.799452
FILLER_0_13_146,VPWR,li1,74.5200,46.2400,1.799452
FILLER_0_13_137,VPWR,li1,68.7700,46.2400,1.799454
FILLER_0_13_125,VPWR,li1,65.7800,46.2400,1.799456
FILLER_0_13_113,VPWR,li1,60.2600,46.2400,1.799459
FILLER_0_13_104,VPWR,li1,55.2000,46.2400,1.799462
FILLER_0_13_92,VPWR,li1,50.6000,46.2400,1.799483
FILLER_0_13_57,VPWR,li1,33.5800,46.2400,1.799598
FILLER_0_13_55,VPWR,li1,31.0500,46.2400,1.799627
FILLER_0_13_51,VPWR,li1,29.2100,46.2400,1.799659
FILLER_0_13_45,VPWR,li1,27.6000,46.2400,1.799659
FILLER_0_13_23,VPWR,li1,16.3300,46.2400,1.799829
FILLER_0_13_19,VPWR,li1,15.1800,46.2400,1.799829
FILLER_0_13_3,VPWR,li1,7.1300,46.2400,1.799860
FILLER_0_12_153,VPWR,li1,76.5900,46.2400,1.799452
FILLER_0_12_145,VPWR,li1,74.0600,46.2400,1.799452
FILLER_0_12_138,VPWR,li1,69.4600,46.2400,1.799454
FILLER_0_12_126,VPWR,li1,66.2400,46.2400,1.799456
FILLER_0_12_117,VPWR,li1,59.5700,46.2400,1.799459
FILLER_0_12_85,VPWR,li1,47.3800,46.2400,1.799499
FILLER_0_12_83,VPWR,li1,43.9300,46.2400,1.799516
FILLER_0_12_79,VPWR,li1,42.0900,46.2400,1.799526
FILLER_0_12_72,VPWR,li1,39.1000,46.2400,1.799551
FILLER_0_12_37,VPWR,li1,23.2300,46.2400,1.799714
FILLER_0_12_29,VPWR,li1,20.7000,46.2400,1.799745
FILLER_0_12_26,VPWR,li1,17.9400,46.2400,1.799784
FILLER_0_12_14,VPWR,li1,14.7200,46.2400,1.799829
FILLER_0_12_6,VPWR,li1,8.7400,46.2400,1.799860
FILLER_0_11_132,VPWR,li1,66.4700,40.8000,1.799729
FILLER_0_11_126,VPWR,li1,63.7100,40.8000,1.799732
FILLER_0_11_113,VPWR,li1,58.8800,40.8000,1.799740
FILLER_0_11_104,VPWR,li1,53.8200,40.8000,1.799748
FILLER_0_11_70,VPWR,li1,39.5600,40.8000,1.799801
FILLER_0_11_64,VPWR,li1,35.1900,40.8000,1.799818
FILLER_0_11_33,VPWR,li1,21.1600,40.8000,1.799888
FILLER_0_11_20,VPWR,li1,15.1800,40.8000,1.799918
FILLER_0_11_12,VPWR,li1,12.8800,40.8000,1.799935
FILLER_0_11_6,VPWR,li1,8.9700,40.8000,1.799935
FILLER_0_10_155,VPWR,li1,77.0500,40.8000,1.799715
FILLER_0_10_149,VPWR,li1,75.4400,40.8000,1.799716
FILLER_0_10_139,VPWR,li1,69.6900,40.8000,1.799725
FILLER_0_10_133,VPWR,li1,68.0800,40.8000,1.799725
FILLER_0_10_125,VPWR,li1,63.4800,40.8000,1.799732
FILLER_0_10_120,VPWR,li1,61.1800,40.8000,1.799736
FILLER_0_10_85,VPWR,li1,47.3800,40.8000,1.799770
FILLER_0_10_81,VPWR,li1,43.4700,40.8000,1.799789
FILLER_0_10_73,VPWR,li1,40.9400,40.8000,1.799801
FILLER_0_10_61,VPWR,li1,36.3400,40.8000,1.799818
FILLER_0_10_49,VPWR,li1,29.9000,40.8000,1.799840
FILLER_0_10_27,VPWR,li1,18.1700,40.8000,1.799899
FILLER_0_10_19,VPWR,li1,16.1000,40.8000,1.799918
FILLER_0_10_7,VPWR,li1,8.9700,40.8000,1.799935
FILLER_0_9_157,VPWR,li1,78.2000,35.3600,1.799797
FILLER_0_9_145,VPWR,li1,74.9800,35.3600,1.799797
FILLER_0_9_125,VPWR,li1,65.7800,35.3600,1.799801
FILLER_0_9_113,VPWR,li1,59.3400,35.3600,1.799804
FILLER_0_9_110,VPWR,li1,56.5800,35.3600,1.799807
FILLER_0_9_101,VPWR,li1,53.3600,35.3600,1.799809
FILLER_0_9_65,VPWR,li1,36.8000,35.3600,1.799840
FILLER_0_9_48,VPWR,li1,29.4400,35.3600,1.799865
FILLER_0_9_36,VPWR,li1,24.8400,35.3600,1.799889
FILLER_0_9_24,VPWR,li1,19.3200,35.3600,1.799915
FILLER_0_9_12,VPWR,li1,13.8000,35.3600,1.799947
FILLER_0_9_3,VPWR,li1,7.5900,35.3600,1.799947
FILLER_0_8_148,VPWR,li1,75.4400,35.3600,1.799797
FILLER_0_8_134,VPWR,li1,68.5400,35.3600,1.799798
FILLER_0_8_113,VPWR,li1,58.1900,35.3600,1.799806
FILLER_0_8_85,VPWR,li1,47.3800,35.3600,1.799813
FILLER_0_8_83,VPWR,li1,43.9300,35.3600,1.799823
FILLER_0_8_74,VPWR,li1,40.4800,35.3600,1.799829
FILLER_0_8_27,VPWR,li1,18.1700,35.3600,1.799926
FILLER_0_8_21,VPWR,li1,16.5600,35.3600,1.799926
FILLER_0_7_137,VPWR,li1,69.0000,29.9200,1.799748
FILLER_0_7_125,VPWR,li1,65.7800,29.9200,1.799752
FILLER_0_7_113,VPWR,li1,58.4200,29.9200,1.799760
FILLER_0_7_111,VPWR,li1,56.8100,29.9200,1.799763
FILLER_0_7_107,VPWR,li1,55.6600,29.9200,1.799763
FILLER_0_7_84,VPWR,li1,46.9200,29.9200,1.799780
FILLER_0_7_72,VPWR,li1,41.4000,29.9200,1.799799
FILLER_0_7_66,VPWR,li1,36.1100,29.9200,1.799822
FILLER_0_7_57,VPWR,li1,32.2000,29.9200,1.799848
FILLER_0_7_55,VPWR,li1,31.0500,29.9200,1.799848
FILLER_0_7_47,VPWR,li1,28.9800,29.9200,1.799859
FILLER_0_7_36,VPWR,li1,23.4600,29.9200,1.799888
FILLER_0_7_30,VPWR,li1,20.0100,29.9200,1.799914
FILLER_0_7_18,VPWR,li1,16.5600,29.9200,1.799925
FILLER_0_7_6,VPWR,li1,11.0400,29.9200,1.799947
FILLER_0_6_154,VPWR,li1,76.8200,29.9200,1.799743
FILLER_0_6_146,VPWR,li1,74.5200,29.9200,1.799743
FILLER_0_6_138,VPWR,li1,69.4600,29.9200,1.799748
FILLER_0_6_126,VPWR,li1,66.2400,29.9200,1.799752
FILLER_0_6_108,VPWR,li1,57.9600,29.9200,1.799760
FILLER_0_6_51,VPWR,li1,31.7400,29.9200,1.799848
FILLER_0_6_39,VPWR,li1,26.2200,29.9200,1.799875
FILLER_0_6_29,VPWR,li1,19.3200,29.9200,1.799914
FILLER_0_6_24,VPWR,li1,17.4800,29.9200,1.799925
FILLER_0_6_12,VPWR,li1,13.8000,29.9200,1.799947
FILLER_0_5_124,VPWR,li1,63.4800,24.4800,1.799837
FILLER_0_5_113,VPWR,li1,57.7300,24.4800,1.799848
FILLER_0_5_111,VPWR,li1,56.8100,24.4800,1.799848
FILLER_0_5_107,VPWR,li1,55.6600,24.4800,1.799852
FILLER_0_5_93,VPWR,li1,49.6800,24.4800,1.799861
FILLER_0_5_81,VPWR,li1,45.5400,24.4800,1.799868
FILLER_0_5_69,VPWR,li1,40.0200,24.4800,1.799877
FILLER_0_5_57,VPWR,li1,34.5000,24.4800,1.799888
FILLER_0_5_27,VPWR,li1,18.6300,24.4800,1.799935
FILLER_0_5_17,VPWR,li1,13.8000,24.4800,1.799952
FILLER_0_5_3,VPWR,li1,7.1300,24.4800,1.799961
FILLER_0_4_148,VPWR,li1,75.4400,24.4800,1.799820
FILLER_0_4_137,VPWR,li1,69.2300,24.4800,1.799827
FILLER_0_4_120,VPWR,li1,61.4100,24.4800,1.799840
FILLER_0_4_101,VPWR,li1,52.2100,24.4800,1.799856
FILLER_0_4_97,VPWR,li1,51.0600,24.4800,1.799861
FILLER_0_4_85,VPWR,li1,47.3800,24.4800,1.799864
FILLER_0_4_83,VPWR,li1,43.9300,24.4800,1.799872
FILLER_0_4_71,VPWR,li1,40.9400,24.4800,1.799877
