Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_20_113,VGND,li1,60.2600,65.2800,0.000202
FILLER_0_20_97,VGND,li1,50.6000,65.2800,0.000175
FILLER_0_20_85,VGND,li1,45.0800,65.2800,0.000160
FILLER_0_20_72,VGND,li1,39.3300,65.2800,0.000146
FILLER_0_20_64,VGND,li1,35.1900,65.2800,0.000126
FILLER_0_20_58,VGND,li1,33.5800,65.2800,0.000126
FILLER_0_20_43,VGND,li1,28.0600,65.2800,0.000106
FILLER_0_20_35,VGND,li1,21.8500,65.2800,0.000075
FILLER_0_20_29,VGND,li1,20.2400,65.2800,0.000075
FILLER_0_20_25,VGND,li1,17.7100,65.2800,0.000064
FILLER_0_20_14,VGND,li1,12.6500,65.2800,0.000053
FILLER_0_20_6,VGND,li1,10.1200,65.2800,0.000053
FILLER_0_19_156,VGND,li1,77.9700,65.2800,0.000220
FILLER_0_19_134,VGND,li1,67.6200,65.2800,0.000213
FILLER_0_19_113,VGND,li1,57.7300,65.2800,0.000196
FILLER_0_19_111,VGND,li1,56.8100,65.2800,0.000191
FILLER_0_19_107,VGND,li1,55.6600,65.2800,0.000191
FILLER_0_19_97,VGND,li1,50.6000,65.2800,0.000175
FILLER_0_19_85,VGND,li1,47.3800,65.2800,0.000169
FILLER_0_19_76,VGND,li1,41.4000,65.2800,0.000154
FILLER_0_19_69,VGND,li1,37.4900,65.2800,0.000139
FILLER_0_19_57,VGND,li1,34.5000,65.2800,0.000126
FILLER_0_19_53,VGND,li1,30.5900,65.2800,0.000116
FILLER_0_19_27,VGND,li1,18.6300,65.2800,0.000064
FILLER_0_19_3,VGND,li1,9.6600,65.2800,0.000053
FILLER_0_18_153,VGND,li1,76.5900,59.8400,0.000164
FILLER_0_18_141,VGND,li1,73.1400,59.8400,0.000164
FILLER_0_18_130,VGND,li1,65.7800,59.8400,0.000155
FILLER_0_18_118,VGND,li1,62.5600,59.8400,0.000151
FILLER_0_18_106,VGND,li1,57.0400,59.8400,0.000138
FILLER_0_18_97,VGND,li1,50.8300,59.8400,0.000123
FILLER_0_18_85,VGND,li1,47.3800,59.8400,0.000112
FILLER_0_18_83,VGND,li1,43.9300,59.8400,0.000105
FILLER_0_18_79,VGND,li1,42.7800,59.8400,0.000105
FILLER_0_18_67,VGND,li1,39.1000,59.8400,0.000097
FILLER_0_18_58,VGND,li1,32.6600,59.8400,0.000081
FILLER_0_18_54,VGND,li1,30.5900,59.8400,0.000076
FILLER_0_18_48,VGND,li1,28.9800,59.8400,0.000068
FILLER_0_18_41,VGND,li1,25.3000,59.8400,0.000062
FILLER_0_18_29,VGND,li1,21.6200,59.8400,0.000050
FILLER_0_18_26,VGND,li1,17.9400,59.8400,0.000041
FILLER_0_18_18,VGND,li1,15.6400,59.8400,0.000036
FILLER_0_18_6,VGND,li1,11.0400,59.8400,0.000040
FILLER_0_17_133,VGND,li1,68.0800,59.8400,0.000158
FILLER_0_17_111,VGND,li1,56.8100,59.8400,0.000138
FILLER_0_17_103,VGND,li1,54.7400,59.8400,0.000134
FILLER_0_17_91,VGND,li1,50.1400,59.8400,0.000123
FILLER_0_17_87,VGND,li1,45.7700,59.8400,0.000112
FILLER_0_17_81,VGND,li1,44.1600,59.8400,0.000105
FILLER_0_17_69,VGND,li1,40.0200,59.8400,0.000097
FILLER_0_17_57,VGND,li1,33.1200,59.8400,0.000081
FILLER_0_17_37,VGND,li1,23.0000,59.8400,0.000056
FILLER_0_17_29,VGND,li1,20.7000,59.8400,0.000050
FILLER_0_16_155,VGND,li1,77.0500,54.4000,0.000179
FILLER_0_16_149,VGND,li1,75.4400,54.4000,0.000178
FILLER_0_16_139,VGND,li1,69.6900,54.4000,0.000169
FILLER_0_16_133,VGND,li1,68.0800,54.4000,0.000169
FILLER_0_16_121,VGND,li1,63.9400,54.4000,0.000160
FILLER_0_16_109,VGND,li1,58.4200,54.4000,0.000151
FILLER_0_16_85,VGND,li1,45.5400,54.4000,0.000122
FILLER_0_16_75,VGND,li1,40.4800,54.4000,0.000112
FILLER_0_16_67,VGND,li1,38.1800,54.4000,0.000105
FILLER_0_16_48,VGND,li1,30.3600,54.4000,0.000085
FILLER_0_16_41,VGND,li1,25.0700,54.4000,0.000070
FILLER_0_16_29,VGND,li1,21.6200,54.4000,0.000056
FILLER_0_16_25,VGND,li1,17.7100,54.4000,0.000047
FILLER_0_16_12,VGND,li1,11.2700,54.4000,0.000037
FILLER_0_16_6,VGND,li1,9.6600,54.4000,0.000037
FILLER_0_15_137,VGND,li1,69.0000,54.4000,0.000169
FILLER_0_15_121,VGND,li1,62.5600,54.4000,0.000160
FILLER_0_15_104,VGND,li1,55.2000,54.4000,0.000147
FILLER_0_15_92,VGND,li1,50.6000,54.4000,0.000138
FILLER_0_15_80,VGND,li1,45.0800,54.4000,0.000122
FILLER_0_15_67,VGND,li1,37.7200,54.4000,0.000105
FILLER_0_15_63,VGND,li1,34.7300,54.4000,0.000093
FILLER_0_15_57,VGND,li1,33.1200,54.4000,0.000093
FILLER_0_15_54,VGND,li1,30.8200,54.4000,0.000085
FILLER_0_15_46,VGND,li1,28.5200,54.4000,0.000080
FILLER_0_15_35,VGND,li1,22.5400,54.4000,0.000063
FILLER_0_15_6,VGND,li1,11.0400,54.4000,0.000037
FILLER_0_14_157,VGND,li1,78.2000,48.9600,0.000305
FILLER_0_14_136,VGND,li1,69.0000,48.9600,0.000303
FILLER_0_14_125,VGND,li1,63.2500,48.9600,0.000299
FILLER_0_14_68,VGND,li1,38.1800,48.9600,0.000254
FILLER_0_14_34,VGND,li1,23.0000,48.9600,0.000159
FILLER_0_14_27,VGND,li1,18.1700,48.9600,0.000112
FILLER_0_14_21,VGND,li1,15.8700,48.9600,0.000092
FILLER_0_14_13,VGND,li1,13.3400,48.9600,0.000092
FILLER_0_14_3,VGND,li1,7.3600,48.9600,0.000092
FILLER_0_13_154,VGND,li1,76.8200,48.9600,0.000305
FILLER_0_13_146,VGND,li1,74.5200,48.9600,0.000305
FILLER_0_13_137,VGND,li1,68.7700,48.9600,0.000303
FILLER_0_13_125,VGND,li1,65.7800,48.9600,0.000301
FILLER_0_13_113,VGND,li1,60.2600,48.9600,0.000298
FILLER_0_13_104,VGND,li1,55.2000,48.9600,0.000294
FILLER_0_13_92,VGND,li1,50.6000,48.9600,0.000288
FILLER_0_13_57,VGND,li1,33.5800,48.9600,0.000231
FILLER_0_13_55,VGND,li1,31.0500,48.9600,0.000213
FILLER_0_13_51,VGND,li1,29.2100,48.9600,0.000194
FILLER_0_13_45,VGND,li1,27.6000,48.9600,0.000194
FILLER_0_13_23,VGND,li1,16.3300,48.9600,0.000092
FILLER_0_13_19,VGND,li1,15.1800,48.9600,0.000092
FILLER_0_13_3,VGND,li1,7.1300,48.9600,0.000092
FILLER_0_12_153,VGND,li1,76.5900,43.5200,0.000371
FILLER_0_12_145,VGND,li1,74.0600,43.5200,0.000371
FILLER_0_12_138,VGND,li1,69.4600,43.5200,0.000370
FILLER_0_12_126,VGND,li1,66.2400,43.5200,0.000370
FILLER_0_12_117,VGND,li1,59.5700,43.5200,0.000369
FILLER_0_12_85,VGND,li1,47.3800,43.5200,0.000339
FILLER_0_12_83,VGND,li1,43.9300,43.5200,0.000321
FILLER_0_12_79,VGND,li1,42.0900,43.5200,0.000312
FILLER_0_12_72,VGND,li1,39.1000,43.5200,0.000296
FILLER_0_12_37,VGND,li1,23.2300,43.5200,0.000184
FILLER_0_12_29,VGND,li1,20.7000,43.5200,0.000153
FILLER_0_12_26,VGND,li1,17.9400,43.5200,0.000133
FILLER_0_12_14,VGND,li1,14.7200,43.5200,0.000101
FILLER_0_12_6,VGND,li1,8.7400,43.5200,0.000101
FILLER_0_11_132,VGND,li1,66.4700,43.5200,0.000370
FILLER_0_11_126,VGND,li1,63.7100,43.5200,0.000369
FILLER_0_11_113,VGND,li1,58.8800,43.5200,0.000369
FILLER_0_11_104,VGND,li1,53.8200,43.5200,0.000368
FILLER_0_11_70,VGND,li1,39.5600,43.5200,0.000296
FILLER_0_11_64,VGND,li1,35.1900,43.5200,0.000276
FILLER_0_11_33,VGND,li1,21.1600,43.5200,0.000153
FILLER_0_11_20,VGND,li1,15.1800,43.5200,0.000101
FILLER_0_11_12,VGND,li1,12.8800,43.5200,0.000101
FILLER_0_11_6,VGND,li1,8.9700,43.5200,0.000101
FILLER_0_10_155,VGND,li1,77.0500,38.0800,0.000259
FILLER_0_10_149,VGND,li1,75.4400,38.0800,0.000259
FILLER_0_10_139,VGND,li1,69.6900,38.0800,0.000256
FILLER_0_10_133,VGND,li1,68.0800,38.0800,0.000256
FILLER_0_10_125,VGND,li1,63.4800,38.0800,0.000252
FILLER_0_10_120,VGND,li1,61.1800,38.0800,0.000250
FILLER_0_10_85,VGND,li1,47.3800,38.0800,0.000221
FILLER_0_10_81,VGND,li1,43.4700,38.0800,0.000203
FILLER_0_10_73,VGND,li1,40.9400,38.0800,0.000190
FILLER_0_10_61,VGND,li1,36.3400,38.0800,0.000173
FILLER_0_10_49,VGND,li1,29.9000,38.0800,0.000140
FILLER_0_10_27,VGND,li1,18.1700,38.0800,0.000077
FILLER_0_10_19,VGND,li1,16.1000,38.0800,0.000063
FILLER_0_10_7,VGND,li1,8.9700,38.0800,0.000063
FILLER_0_9_157,VGND,li1,78.2000,38.0800,0.000259
FILLER_0_9_145,VGND,li1,74.9800,38.0800,0.000259
FILLER_0_9_125,VGND,li1,65.7800,38.0800,0.000253
FILLER_0_9_113,VGND,li1,59.3400,38.0800,0.000248
FILLER_0_9_110,VGND,li1,56.5800,38.0800,0.000244
FILLER_0_9_101,VGND,li1,53.3600,38.0800,0.000239
FILLER_0_9_65,VGND,li1,36.8000,38.0800,0.000173
FILLER_0_9_48,VGND,li1,29.4400,38.0800,0.000140
FILLER_0_9_36,VGND,li1,24.8400,38.0800,0.000111
FILLER_0_9_24,VGND,li1,19.3200,38.0800,0.000077
FILLER_0_9_12,VGND,li1,13.8000,38.0800,0.000063
FILLER_0_9_3,VGND,li1,7.5900,38.0800,0.000063
FILLER_0_8_148,VGND,li1,75.4400,32.6400,0.000163
FILLER_0_8_134,VGND,li1,68.5400,32.6400,0.000156
FILLER_0_8_113,VGND,li1,58.1900,32.6400,0.000141
FILLER_0_8_85,VGND,li1,47.3800,32.6400,0.000125
